product name,bundle flag,no of units,total price,unit price
"Lotte Milkis Soft Soda Variety Favor (Yogurt (Regular), Pack of 12)",1,12,23.59,1.9658333333333333
"Coca-Cola, Fanta, Sprite - Lemon-Lime, Canada Dry - Ginger Ale - Ultimate Variety Pack!, 7.5 oz Mini Cans (Pack of 18, Total of 135 Fl Oz)",1,18,23.80,1.3222222222222222
(Mix Case) Sarsaparilla Collection 12 Pack,1,12,32.99,2.749166666666667
"Cheerwine Cherry Soft Drink Soda, 12 Fl Oz Glass Bottle (Pack of 6, Total of 72 Fl Oz)",1,6,22.71,3.785
"Zevia Caffeine Free Cola 10 Pack, 12 FZ",1,10,nan,
"RC Cola, Royal Crown Cola Soda, 12oz Can (Pack of 15, Total of 180 Fl Oz)",1,15,nan,
"Zevia Zero Calorie Soda, Rainbow Variety Pack, 12 Ounce Cans (Pack of 24)",1,24,24.99,1.04125
"Zevia Zero Calorie Soda, Creamy Root Beer, 12 Ounce Cans (Pack of 24)",1,24,nan,
"Diet Coke Caffeine Free Soda Soft Drink, 2 Liter Bottle",0,1,nan,nan
"Virgil's Root Beer Soda, 12 oz Glass Bottles (24 Pack)",1,24,56.00,2.3333333333333335
"IZZE Sparkling Juice, Grapefruit, 12 Fl Oz (pack of 4)",1,4,nan,
"7Up Lemon Lime Mini Soda Cans, 7.5 oz Soft Drinks Bulk Snacks Pack, Small Refrigerator & Snack Pantry Drink 18 Count Beverage Bedroom & Kitchen Supplies",1,18,24.49,1.3605555555555555
"San Pellegrino Sparkling Beverage, Aranciata Rossa (Blood Orange), 11.15 Fl Oz (Pack of 12)",1,12,nan,
"Sarsaparilla Soft Drink Extract, 2oz",0,1,12.95,12.95
"Canada Dry Ginger Ale Variety Soda Summer Pack, Original, Lemonade, and Limeade Ginger Based Soft Drinks, Fun Mini Fridge Stuffers and Ice Drinks for Party Mix",1,unknown,24.99,unknown
Ramune Japanese Refreshing Carbonated Soft Drink Soda Variety Pack - Ramune Gift Set 8 Variety Pack - Japanese Drink Gift Set Box (8 Count),1,8,29.84,3.73
"OLIPOP - Soda Lovers Pack, Vintage Cola & Root Beer, Classic Soda Variety Pack, Healthy Soda, Prebiotic Soft Drink, Aids Digestive Health, 9g of Plant Fiber, Low Calorie, Low Sugar (12 oz, 12-Pack)",1,unknown,36.99,unknown
"Pepsi Soda, 12 Fl Oz (pack of 24), (Packaging May Vary)",1,24,nan,
"San Pellegrino Momenti Clementine & Peach Cans, 11.15 Fl Oz (24 Pack)",1,24,21.96,0.915
"Fanta Orange Soda Fruit Flavored Soft Drink, 12 fl oz, 8 Pack",1,8,nan,
"Mountain Dew Kickstart Energizing Variety Pack, 16 Ounce (pack of 12)",1,12,27.50,2.2916666666666665
"Pepsi Made With Real Sugar, 12 Fl Oz (pack of 12)",1,12,nan,
"Shasta 12 Piece Pack Soda Soft Drinks, CHERRY TWIST",1,unknown,19.99,unknown
Squirt Original Grapefruit Soda Mini-Cans Soft Drink - 10 Pk (7.5 oz),1,10,19.49,1.9489999999999998
"18 Pack BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 18)",1,18,34.99,1.943888888888889
"Mountain Dew, 12 oz (pack of 12)",1,12,nan,
"Diet Mountain Dew (12 oz. cans, 36 ct.)",1,36,46.61,1.294722222222222
"Zevia Zero Calorie Soda, Grape, 12 Fl Oz (pack of 6)",1,6,nan,
"Coke-Zero, 12 oz Cans (Pack of 15, Total of 180 Fl Oz)",1,15,19.99,1.3326666666666667
"Big Red Soda Soft Drink, 20-Ounce (Pack of 24)",1,24,42.49,1.7704166666666667
"Dr. Pepper Soda, 20oz Bottle (Pack of 8, Total of 160 Fl Oz)",1,8,nan,
"Mountain Dew Diet Soda, 12 Fl Oz (pack of 12)",1,12,nan,
"Tahitian Treat, Fruit Punch Soda, 20 Fl Oz Bottle (Pack of 10, Total of 200 Fl Oz)",1,10,23.39,2.339
Pepsi Original Soda Mini-Cans Soft Drink - 15 Pk (7.5 oz),1,15,12.99,0.866
"Pepsi Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10,4.29,0.429
"Barq's Red Creme Soda Soft Drink, 12 Fl Oz, 36 Pack, Red Creme, 12 Fl Oz () , 12 Fl Oz (Pack of 1)",1,36,93.00,2.5833333333333335
"Bundaberg 4 Flavor Variety Pack,Ginger Beer, Blood Orange, Guava, Peach Sparkling Fruit Drinks, 12.7 oz (12 Pack)",1,unknown,28.99,unknown
"Shirakiku Ramune Japanese Soda, Variety Pack, 8 Glass Bottles",1,unknown,36.95,unknown
"Fanta Orange Soda Fruit Flavored Soft Drink, 67.6 Fl Oz",0,1,nan,nan
"Sanpellegrino Blood Orange Sparkling Fruit Beverage Cans, 11.15 Fl Oz (pack of 6)",1,6,nan,
"Coca-Cola, 12 fl oz, 24 Pack",1,24,nan,
"AW Zero Sugar Cream Soda, 12 fl oz, 18 cans, total 216 fl oz",1,18,26.99,1.4994444444444444
"KOIOS - Sparkling Citrus Fit Soda, Zero Calorie Soft Drink, Muscle Recovery Soda, Hydrating Electrolytes & BCAAs for Energy, Great Flavor, No Sugar, Caffeine-Free, Gluten-Free (12 oz, 12 Count)",1,12,nan,
ArKay Alcohol Free Vodka Flavored Drink - Vodka Substitute - Since 2011 - 3 x 33.3 FL OZ Bottle Case,0,1,130.00,130.00
"Zevia, Soda Zero Calorie Cream Soda, 12 Fl Oz Cans, 10 Pack",1,10,nan,
"Diet Pepsi Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10,3.78,0.378
"Shirakiku Ramune Japanese Soda, Variety Pack, 8 Glass Bottles",1,unknown,36.95,unknown
"Coca-Cola Mini Can Variety Pack, 7.5 Fl Oz, Pack Of 30 (10 Each: Coke Classic, Diet Coke, Sprite),, 7.5 Fl Oz ()",1,30,27.00,0.9
Mountain Dew Baja LTO 3fl VP,1,3,28.73,9.576666666666666
"Jarritos Mandarin Soda Plastic Bottle, 16.9-Ounce (Pack of 24)",1,24,nan,
"Ting GrapeFruit Soda, 20 Ounce (Pack of 6)",1,6,25.26,4.21
"Shasta Diet Cola, 12-Ounces (Pack Of 24)",1,24,25.50,1.0625
"Zevia Zero Calorie Soda, Creamy Root Beer, 12 Ounce Cans (Pack of 24)",1,24,nan,
"poppi A Healthy Sparkling Prebiotic Soda With Real Fruit Juice For Gut Health Immunity Benefits In 12 Oz Cans, Orange, 12 Fl Oz",1,unknown,nan,unknown
"Sprite Lemon Lime Soda Soft Drinks, 16.9 fl oz, 6 Count - Pack of 12",1,12,18.99,1.5824999999999998
Moxie Soda (12 - 12oz Cans),1,unknown,25.98,unknown
"Shasta Orange Creme Soda, California Dreamin, 12 Oz Can (Pack of 12)",1,12,19.00,1.5833333333333333
